id,title,description,category,location,budget
1,Sunset Beach Walk,Enjoy sunset beach walk with friends and family.,Creative,Bandra,4900
2,Bollywood Dance Class,Enjoy bollywood dance class with friends and family.,Fun,Thane,4100
3,Adventure Park Zipline,Enjoy adventure park zipline with friends and family.,Fun,Versova,500
4,Wine Tasting at Vineyard,Enjoy wine tasting at vineyard with friends and family.,Relaxing,Lower Parel,5500
5,Street Food Tour,Enjoy street food tour with friends and family.,Foodie,Thane,1200
6,Couple’s Spa Session,Enjoy couple’s spa session with friends and family.,Creative,Lower Parel,1000
7,Karaoke Night,Enjoy karaoke night with friends and family.,Foodie,Bandra,2300
8,Mountain Trek,Enjoy mountain trek with friends and family.,Luxury,Lower Parel,5500
9,Art & Painting Workshop,Enjoy art & painting workshop with friends and family.,Creative,Thane,3600
10,Live Jazz Night,Enjoy live jazz night with friends and family.,Luxury,Powai,5300
11,Pottery Workshop,Enjoy pottery workshop with friends and family.,Adventurous,Borivali,1700
12,Stand-up Comedy Show,Enjoy stand-up comedy show with friends and family.,Foodie,Lonavala,500
13,Cooking Masterclass,Enjoy cooking masterclass with friends and family.,Relaxing,Andheri,1900
14,Salsa Dance Night,Enjoy salsa dance night with friends and family.,Relaxing,Nashik,5500
15,Yoga by the Sea,Enjoy yoga by the sea with friends and family.,Creative,Bandra,5500
16,Luxury Yacht Ride,Enjoy luxury yacht ride with friends and family.,Luxury,Borivali,1400
17,Open Mic Night,Enjoy open mic night with friends and family.,Fun,Vile Parle,600
18,Cycling Trail,Enjoy cycling trail with friends and family.,Luxury,Lower Parel,5200
19,Photography Walk,Enjoy photography walk with friends and family.,Foodie,Versova,3100
20,Heritage City Tour,Enjoy heritage city tour with friends and family.,Adventurous,Andheri,2700
21,Mocktail Making Workshop,Enjoy mocktail making workshop with friends and family.,Relaxing,Powai,4200
22,Rock Climbing Session,Enjoy rock climbing session with friends and family.,Fun,Powai,4000
23,Camping Night,Enjoy camping night with friends and family.,Adventurous,Juhu,2600
24,Meditation Retreat,Enjoy meditation retreat with friends and family.,Fun,Vile Parle,1200
25,Luxury Dining Experience,Enjoy luxury dining experience with friends and family.,Relaxing,Lonavala,3400
26,Hot Air Balloon Ride,Enjoy hot air balloon ride with friends and family.,Luxury,Nashik,2000
27,Scuba Diving Trial,Enjoy scuba diving trial with friends and family.,Romantic,Lonavala,900
28,Poetry Reading,Enjoy poetry reading with friends and family.,Foodie,Thane,4200
29,Farm-to-Table Dinner,Enjoy farm-to-table dinner with friends and family.,Fun,Nashik,600
30,Craft Beer Tasting,Enjoy craft beer tasting with friends and family.,Romantic,Powai,3900
31,Go-Karting Challenge,Enjoy go-karting challenge with friends and family.,Creative,Powai,400
32,Bowling Night,Enjoy bowling night with friends and family.,Creative,Colaba,1900
33,Virtual Reality Arcade,Enjoy virtual reality arcade with friends and family.,Romantic,Bandra,3800
34,Board Game Café Evening,Enjoy board game café evening with friends and family.,Romantic,Lonavala,1500
35,Chocolatier Workshop,Enjoy chocolatier workshop with friends and family.,Creative,Juhu,2800
36,Sushi Rolling Class,Enjoy sushi rolling class with friends and family.,Relaxing,Lonavala,5600
37,Paint & Sip,Enjoy paint & sip with friends and family.,Creative,Versova,1300
38,Night Trek,Enjoy night trek with friends and family.,Creative,Lower Parel,5100
39,Paragliding Adventure,Enjoy paragliding adventure with friends and family.,Adventurous,Lonavala,2500
